Manufacturer,Category,Screen_Size,RAM,GPU,Weight,Screen_resolution,IPS_Panel,Retina_Display,Touchscreen,Quad_HD_plus,GHz,Intel,AMD,Storage_Size,Storage_Size2,Storage_Type,Storage_Type2,os,Weight_KG,Price
Apple,Ultrabook,13.3,8,Intel Iris Plus Graphics 640,1.37kg,2560x1600,1,1,0,0,2.3,1,0,128GB,NaN,SSD,NaN,macOS,1.37,35737.5
Apple,Ultrabook,13.3,8,Intel HD Graphics 6000,1.34kg,1440x900,0,0,0,0,1.8,1,0,128GB,NaN,Flash Storage,NaN,macOS,1.34,239801.09999999998
HP,Notebook,15.6,8,Intel HD Graphics 620,1.86kg,1920x1080,0,0,0,0,2.5,1,0,256GB,NaN,SSD,NaN,No OS,1.86,153387.0
Apple,Ultrabook,15.4,16,AMD Radeon Pro 455,1.83kg,2880x1800,1,1,0,0,2.7,1,0,512GB,NaN,SSD,NaN,macOS,1.83,67689.0
Apple,Ultrabook,13.3,8,Intel Iris Plus Graphics 650,1.37kg,2560x1600,1,1,0,0,3.1,1,0,256GB,NaN,SSD,NaN,macOS,1.37,48112.799999999996
Acer,Notebook,15.6,4,AMD Radeon R5,2.1kg,1366x768,0,0,0,0,3.0,0,1,500GB,NaN,HDD,NaN,Windows - 10,2.1,106704.0
Apple,Ultrabook,15.4,16,Intel Iris Pro Graphics,2.04kg,2880x1800,1,1,0,0,2.2,1,0,256GB,NaN,Flash Storage,NaN,Mac OS - X,2.04,57085.799999999996
Apple,Ultrabook,13.3,8,Intel HD Graphics 6000,1.34kg,1440x900,0,0,0,0,1.8,1,0,256GB,NaN,Flash Storage,NaN,macOS,1.34,30909.3
Asus,Ultrabook,14.0,16,Nvidia GeForce MX150,1.3kg,1920x1080,0,0,0,0,1.8,1,0,512GB,NaN,SSD,NaN,Windows - 10,1.3,39880.5
Acer,Ultrabook,14.0,8,Intel UHD Graphics 620,1.6kg,1920x1080,1,0,0,0,1.6,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.6,205405.19999999998
HP,Notebook,15.6,4,Intel HD Graphics 620,1.86kg,1366x768,0,0,0,0,2.5,1,0,500GB,NaN,HDD,NaN,No OS,1.86,105076.5
HP,Notebook,15.6,4,Intel HD Graphics 520,1.86kg,1920x1080,0,0,0,0,2.0,1,0,500GB,NaN,HDD,NaN,No OS,1.86,92029.5
Apple,Ultrabook,15.4,16,AMD Radeon Pro 555,1.83kg,2880x1800,1,1,0,0,2.8,1,0,256GB,NaN,SSD,NaN,macOS,1.83,65088.6
Dell,Notebook,15.6,4,AMD Radeon R5 M430,2.2kg,1920x1080,0,0,0,0,2.0,1,0,256GB,NaN,SSD,NaN,Windows - 10,2.2,133086.3
Apple,Ultrabook,12.0,8,Intel HD Graphics 615,0.92kg,2304x1440,1,1,0,0,1.2,1,0,256GB,NaN,SSD,NaN,macOS,0.92,33675.6
Apple,Ultrabook,13.3,8,Intel Iris Plus Graphics 640,1.37kg,2560x1600,1,1,0,0,2.3,1,0,256GB,NaN,SSD,NaN,macOS,1.37,40508.7
Dell,Notebook,15.6,8,AMD Radeon R5 M430,2.2kg,1920x1080,0,0,0,0,2.7,1,0,256GB,NaN,SSD,NaN,Windows - 10,2.2,198736.19999999998
Apple,Ultrabook,15.4,16,AMD Radeon Pro 560,1.83kg,2880x1800,1,1,0,0,2.9,1,0,512GB,NaN,SSD,NaN,macOS,1.83,76239.9
Lenovo,Notebook,15.6,8,Nvidia GeForce 940MX,2.2kg,1920x1080,0,0,0,0,2.4,1,0,1TB,NaN,HDD,NaN,No OS,2.2,133113.0
Dell,Ultrabook,13.3,8,Intel UHD Graphics 620,1.22kg,1920x1080,1,0,1,0,1.6,1,0,128GB,NaN,SSD,NaN,Windows - 10,1.22,261157.8
Asus,Netbook,11.6,2,Intel HD Graphics 400,0.98kg,1366x768,0,0,0,0,1.44,1,0,32GB,NaN,Flash Storage,NaN,Windows - 10,0.98,51191.1
Lenovo,Gaming,15.6,8,Nvidia GeForce GTX 1050,2.5kg,1920x1080,1,0,0,0,2.5,1,0,128GB,1TB,SSD ,HDD,Windows - 10,2.5,266493.0
HP,Notebook,15.6,4,AMD Radeon R2,1.86kg,1366x768,0,0,0,0,1.5,0,1,500GB,NaN,HDD,NaN,No OS,1.86,68823.9
Dell,2 in 1 Convertible,13.3,8,Intel UHD Graphics 620,1.62kg,1920x1080,0,0,1,0,1.6,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.62,218476.19999999998
HP,Ultrabook,15.6,8,Intel HD Graphics 620,1.91kg,1920x1080,0,0,0,0,1.8,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.91,175794.6
